Index,Modification,Speaker,Start Time,End Time,Script
1,인식결과,1,189,10514,네 한 계절을 보냈습니다. 우리가 동지 때 만나고 그때는 너무 추워가지고 그랬는데 지금은 좀 옷이 많이 가벼워졌습니다.
1,수정결과,A,189,10514,네 한 계절을 보냈습니다. 우리가 동지 때 만나고 그때는 너무 추워가지고 그랬는데 지금은 좀 옷이 많이 가벼워졌습니다.
2,인식결과,1,10514,21790,그때 막 무대가 없는데 저희가 거기서 춤도 추고 노래도 부르고 그랬는데 오늘 안타깝게도 전녀동에서 배출한 최고의 율도
2,수정결과,A,10514,21790,그때 막 무대가 없는데 저희가 거기서 춤도 추고 노래도 부르고 그랬는데 오늘 안타깝게도 전여농에서 배출한 최고의 율도
3,인식결과,1,21790,27790,길이 안 오셨어요. 지금 아직 못 오신 것 같은데 그래도 또 저희가 대체가 있습니다. 우리
3,수정결과,A,21790,27790,그 팀이 안 오셨어요. 지금 아직 못 오신 것 같은데 그래도 또 저희가 대체가 있습니다. 우리
4,인식결과,1,27790,36149,나와서 우리 농민이 친구 한번 불러봤으면 좋겠거든요. 우리 여성 농민 한경래 부회장님하고
4,수정결과,A,27790,36149,나와서 우리 농민이 최고 한번 불러봤으면 좋겠거든요. 우리 여성 농민 한경례 부회장님하고
5,인식결과,1,36149,47650,하셨잖아요. 엊그저께 남성 국민들도 있기 때문에 간단한 버전으로 부회장님은 혼자 나오기 그러니까 옆에 같이 나와주세요.
5,수정결과,A,36149,47650,하셨잖아요. 엊그저께 남성 농민들도 있기 때문에 간단한 버전으로 부회장님은 혼자 나오기 그러니까 옆에 같이 나와주세요.
6,인식결과,1,47650,59004,우리 여성 농민 언니들 같이 나오셔가지고 네 혼자 외롭잖아요. 근데 또 의리가 있는 농민이 최고 농민이 최고 농민이 최고로
6,수정결과,A,47650,59004,우리 여성 농민 언니들 같이 나오셔가지고 네 혼자 외롭잖아요. 근데 또 의리가 있는 농민이 최고 농민이 최고 농민이 최고로
7,인식결과,1,59004,67354,네 우리 경남 소장님 왜 앉아 계세요? 옥류가로
7,수정결과,A,59004,67354,네 우리 경남 소장님 왜 앉아 계세요? 농민가로
8,인식결과,2,67354,77240,너 조끼 안 입고 왔구나 잠깐만요. 율도을
8,수정결과,B,67354,77240,너 조끼 안 입고 왔구나 잠깐만요. 율동을
9,인식결과,2,77240,87514,제가 가르쳐 드리는데요. 이거 못하면 IQ 80 다 같이 왼손을 높이 쓰시고 그다음에 박수를 칩니다.
9,수정결과,B,77240,87514,제가 가르쳐 드리는데요. 이거 못하면 IQ 80 다 같이 왼손을 높이 쓰시고 그다음에 박수를 칩니다.
10,인식결과,2,87514,92835,그다음에 오른손을 하고 박수를 쳐요. 그다음에 하나
10,수정결과,B,87514,92835,그다음에 오른손을 하고 박수를 쳐요. 그다음에 하나
11,인식결과,2,92835,100769,"되겠습니까? 다시 한번 연습하겠습니다. 하나 둘, 셋 넷 다섯 여섯"
